,Lines
11690,"On they all went; nor stopped they once to breathe, until the leader,"
11691,"striking off into an angle of the field indicated by Oliver, began to"
11692,"search, narrowly, the ditch and hedge adjoining; which afforded time"
11693,for the remainder of the party to come up; and for Oliver to
11694,communicate to Mr. Losberne the circumstances that had led to so
11695,vigorous a pursuit.
11697,The search was all in vain.  There were not even the traces of recent
11698,"footsteps, to be seen.  They stood now, on the summit of a little hill,"
11699,commanding the open fields in every direction for three or four miles.
11700,"There was the village in the hollow on the left; but, in order to gain"
11701,"that, after pursuing the track Oliver had pointed out, the men must"
11702,"have made a circuit of open ground, which it was impossible they could"
11703,have accomplished in so short a time.  A thick wood skirted the
11704,meadow-land in another direction; but they could not have gained that
11705,covert for the same reason.
11707,"'It must have been a dream, Oliver,' said Harry Maylie."
11709,"'Oh no, indeed, sir,' replied Oliver, shuddering at the very"
11710,recollection of the old wretch's countenance; 'I saw him too plainly
11711,"for that.  I saw them both, as plainly as I see you now.'"
11713,"'Who was the other?' inquired Harry and Mr. Losberne, together."
11715,"'The very same man I told you of, who came so suddenly upon me at the"
11716,"inn,' said Oliver.  'We had our eyes fixed full upon each other; and I"
11717,could swear to him.'
11719,'They took this way?' demanded Harry:  'are you sure?'
11721,"'As I am that the men were at the window,' replied Oliver, pointing"
11722,"down, as he spoke, to the hedge which divided the cottage-garden from"
11723,"the meadow.  'The tall man leaped over, just there; and the Jew,"
11724,"running a few paces to the right, crept through that gap.'"
11726,"The two gentlemen watched Oliver's earnest face, as he spoke, and"
11727,"looking from him to each other, seemed to feel satisfied of the"
11728,"accuracy of what he said.  Still, in no direction were there any"
11729,appearances of the trampling of men in hurried flight.  The grass was
11730,"long; but it was trodden down nowhere, save where their own feet had"
11731,crushed it.  The sides and brinks of the ditches were of damp clay; but
11732,"in no one place could they discern the print of men's shoes, or the"
11733,slightest mark which would indicate that any feet had pressed the
11734,ground for hours before.
11736,'This is strange!' said Harry.
11738,"'Strange?' echoed the doctor.  'Blathers and Duff, themselves, could"
11739,make nothing of it.'
11741,"Notwithstanding the evidently useless nature of their search, they did"
11742,not desist until the coming on of night rendered its further
11743,"prosecution hopeless; and even then, they gave it up with reluctance."
11744,"Giles was dispatched to the different ale-houses in the village,"
11745,furnished with the best description Oliver could give of the appearance
11746,"and dress of the strangers.  Of these, the Jew was, at all events,"
11747,"sufficiently remarkable to be remembered, supposing he had been seen"
11748,"drinking, or loitering about; but Giles returned without any"
11749,"intelligence, calculated to dispel or lessen the mystery."
11751,"On the next day, fresh search was made, and the inquiries renewed; but"
11752,"with no better success.  On the day following, Oliver and Mr. Maylie"
11753,"repaired to the market-town, in the hope of seeing or hearing something"
11754,of the men there; but this effort was equally fruitless.  After a few
11755,"days, the affair began to be forgotten, as most affairs are, when"
11756,"wonder, having no fresh food to support it, dies away of itself."
11758,"Meanwhile, Rose was rapidly recovering.  She had left her room: was"
11759,"able to go out; and mixing once more with the family, carried joy into"
11760,the hearts of all.
11762,"But, although this happy change had a visible effect on the little"
11763,circle; and although cheerful voices and merry laughter were once more
11764,"heard in the cottage; there was at times, an unwonted restraint upon"
11765,some there:  even upon Rose herself: which Oliver could not fail to
11766,remark.  Mrs. Maylie and her son were often closeted together for a
11767,long time; and more than once Rose appeared with traces of tears upon
11768,her face.  After Mr. Losberne had fixed a day for his departure to
11769,"Chertsey, these symptoms increased; and it became evident that"
11770,"something was in progress which affected the peace of the young lady,"
11771,and of somebody else besides.
11773,"At length, one morning, when Rose was alone in the breakfast-parlour,"
11774,"Harry Maylie entered; and, with some hesitation, begged permission to"
11775,speak with her for a few moments.
11777,"'A few--a very few--will suffice, Rose,' said the young man, drawing"
11778,"his chair towards her.  'What I shall have to say, has already"
11779,presented itself to your mind; the most cherished hopes of my heart are
11780,"not unknown to you, though from my lips you have not heard them stated.'"
11782,Rose had been very pale from the moment of his entrance; but that might
11783,have been the effect of her recent illness.  She merely bowed; and
11784,"bending over some plants that stood near, waited in silence for him to"
11785,proceed.
11787,"'I--I--ought to have left here, before,' said Harry."
11789,"'You should, indeed,' replied Rose.  'Forgive me for saying so, but I"
11790,wish you had.'
11792,"'I was brought here, by the most dreadful and agonising of all"
11793,"apprehensions,' said the young man; 'the fear of losing the one dear"
11794,being on whom my every wish and hope are fixed.  You had been dying;
11795,"trembling between earth and heaven.  We know that when the young, the"
11796,"beautiful, and good, are visited with sickness, their pure spirits"
11797,"insensibly turn towards their bright home of lasting rest; we know,"
11798,"Heaven help us! that the best and fairest of our kind, too often fade"
11799,in blooming.'
11801,"There were tears in the eyes of the gentle girl, as these words were"
11802,"spoken; and when one fell upon the flower over which she bent, and"
11803,"glistened brightly in its cup, making it more beautiful, it seemed as"
11804,"though the outpouring of her fresh young heart, claimed kindred"
11805,"naturally, with the loveliest things in nature."
11807,"'A creature,' continued the young man, passionately, 'a creature as"
11808,"fair and innocent of guile as one of God's own angels, fluttered"
11809,"between life and death.  Oh! who could hope, when the distant world to"
11810,"which she was akin, half opened to her view, that she would return to"
11811,"the sorrow and calamity of this!  Rose, Rose, to know that you were"
11812,"passing away like some soft shadow, which a light from above, casts"
11813,upon the earth; to have no hope that you would be spared to those who
11814,linger here; hardly to know a reason why you should be; to feel that
11815,you belonged to that bright sphere whither so many of the fairest and
11816,"the best have winged their early flight; and yet to pray, amid all"
11817,"these consolations, that you might be restored to those who loved"
11818,"you--these were distractions almost too great to bear. They were mine,"
11819,"by day and night; and with them, came such a rushing torrent of fears,"
11820,"and apprehensions, and selfish regrets, lest you should die, and never"
